Date,Customer ID,Truck ID,Invoice Number,Freight ID,City,Net Revenue,Weight (Kg),Weight (Cubic),Goods Value
2018/01/02,10975,38,774571,02/01/2018:MMA-5946,Herrings Crossroads,"7,42","2,5",3,"247,39"
2018/01/02,22346,23,774507,02/01/2018:MMA-4836,Enders,"3,54","2,62",3,"118,05"
2018/01/02,12208,23,774516,02/01/2018:MMA-4836,Shavertown,"8,98","5,54",9,"299,01"
2018/01/02,1929,23,774626,02/01/2018:MMA-4836,Enders,"12,49","7,8",9,"416,27"
2018/01/02,6198,23,774623,02/01/2018:MMA-4836,Enders,"2,49","8,55",9,"82,9"
2018/01/02,11524,37,774548,02/01/2018:MFU-2632,New Freedom,"13,17","8,31",15,"438,93"
2018/01/02,4834,22,774526,02/01/2018:MMA-5926,Holcomb Village,"7,37","11,38",15,"245,55"
2018/01/02,3693,23,774505,02/01/2018:MMA-4836,Kilgore,"17,45","14,84",15,"581,17"
2018/01/02,22354,23,774593,02/01/2018:MMA-4836,Enders,"5,84","9,62",12,"194,53"
2018/01/02,446,23,774619,02/01/2018:MMA-4836,Shavertown,"12,88","11,39",27,"429,3"
2018/01/02,21341,7,774482,02/01/2018:MJT-5239,Farmers,"122,66","189,15","189,15","4088,8"
2018/01/02,21341,7,774485,02/01/2018:MJT-5239,Farmers,"1515,73","2721,88",3732,"50524,35"
2018/01/02,21341,7,774484,02/01/2018:MJT-5239,Farmers,"177,8","375,45",744,"5926,35"
2018/01/02,21341,7,774483,02/01/2018:MJT-5239,Farmers,"88,12","167,17",210,"2937,3"
2018/01/02,1989,2,774492,02/01/2018:MJD-6976,Loyce,"1792,73","5885,24",8844,"59757,8"
2018/01/02,34758,37,774550,02/01/2018:MFU-2632,New Freedom,"0,47","0,03","0,03","15,74"
2018/01/02,11524,37,774549,02/01/2018:MFU-2632,New Freedom,"134,75","83,1",141,"4491,66"
2018/01/02,35266,37,774547,02/01/2018:MFU-2632,Lake Harbor Estates,"14,54","26,93",45,"484,75"
2018/01/02,31640,38,774574,02/01/2018:MMA-5946,Herrings Crossroads,"12,77","11,02","11,02","425,6"
2018/01/02,33109,38,774572,02/01/2018:MMA-5946,Herrings Crossroads,"2,66","3,74","3,74","88,54"
2018/01/02,2014,38,774596,02/01/2018:MMA-5946,Herrings Crossroads,"105,46","93,15","93,15","3515,24"
2018/01/02,9578,38,774584,02/01/2018:MMA-5946,Herrings Crossroads,"79,92","117,3",819,"2663,77"
2018/01/02,6216,38,774489,02/01/2018:MMA-5946,Herrings Crossroads,"102,77","100,77","100,77","3425,66"
2018/01/02,31640,38,774573,02/01/2018:MMA-5946,Herrings Crossroads,"0,08",1,1,"2,9"
2018/01/02,24468,38,774614,02/01/2018:MMA-5946,Herrings Crossroads,"451,55","315,56","315,56","7055,65"
2018/01/02,66,3,774630,02/01/2018:MJT-4829,Mineola,"49,02","30,47",51,"1634,42"
2018/01/02,7486,22,774529,02/01/2018:MMA-5926,Angola-on-the-lake,"60,02","61,39",264,"2000,84"
2018/01/02,30544,22,774527,02/01/2018:MMA-5926,Shavertown,"14,41","33,6","33,6","480,26"
2018/01/02,26793,22,774528,02/01/2018:MMA-5926,Orkney Springs,"7,92","7,32","7,32","263,76"
2018/01/02,24485,22,774504,02/01/2018:MMA-5926,Orkney Springs,"228,08","321,54",1395,"7602,84"
2018/01/02,35296,19,774605,02/01/2018:MDB-1602,Banner Crest,"106,39","176,93",324,"3546,05"
2018/01/02,33532,23,774620,02/01/2018:MMA-4836,Shavertown,"27,2","31,25","31,25","907,05"
