orden_id,cliente_id,ciudad_destino,cedi_id,peso_kg,vol_m3,revenue,fecha
ORD00023,31640,Denver,HUB-WEST,1.0,1.0,,2018-01-02
ORD00043,22106,San Diego,HUB-WEST,10.0,10.0,,2018-01-02
ORD00047,33759,Seattle,HUB-WEST,10.0,10.0,,2018-01-02
ORD00118,14516,Phoenix,HUB-WEST,1.0,1.0,,2018-01-03
ORD00137,10045,New York,HUB-EAST,1.0,1.0,,2018-01-03
ORD00145,34434,Seattle,HUB-WEST,1.0,1.0,,2018-01-03
ORD00214,28996,Charlotte,HUB-EAST,1.0,1.0,,2018-01-04
ORD00216,39716,Los Angeles,HUB-WEST,16.0,16.0,,2018-01-04
ORD00217,9578,Los Angeles,HUB-WEST,18.0,108.0,,2018-01-04
ORD00232,40316,New York,HUB-EAST,1.0,1.0,,2018-01-04
ORD00234,24120,San Jose,HUB-WEST,20.0,20.0,,2018-01-04
ORD00256,37402,Columbus,HUB-MID,1.0,1.0,,2018-01-04
ORD00265,19999,Jacksonville,HUB-EAST,225.0,1224.0,,2018-01-04
ORD00321,21110,Chicago,HUB-MID,190.0,190.0,,2018-01-05
ORD00354,34006,Nashville,HUB-EAST,1.0,1.0,,2018-01-05
ORD00355,2837,Nashville,HUB-EAST,1.0,1.0,,2018-01-05
ORD00356,13119,Houston,HUB-SOUTH,5.0,5.0,,2018-01-05
ORD00358,24203,Los Angeles,HUB-WEST,1.0,1.0,,2018-01-05
ORD00398,7970,Philadelphia,HUB-EAST,1.0,1.0,,2018-01-08
ORD00401,36403,Indianapolis,HUB-MID,1.0,1.0,,2018-01-08
ORD00402,24344,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-08
ORD00405,16863,Austin,HUB-SOUTH,1.0,1.0,,2018-01-08
ORD00407,22326,Chicago,HUB-MID,1.0,1.0,,2018-01-08
ORD00409,2593,New York,HUB-EAST,1.0,1.0,,2018-01-08
ORD00414,31016,New York,HUB-EAST,1.0,1.0,,2018-01-08
ORD00427,28339,San Francisco,HUB-WEST,1.0,1.0,,2018-01-08
ORD00431,35188,Charlotte,HUB-EAST,1.0,1.0,,2018-01-08
ORD00452,38512,San Jose,HUB-WEST,1.0,1.0,,2018-01-08
ORD00472,3060,Dallas,HUB-SOUTH,2.0,9.0,,2018-01-09
ORD00529,2176,Denver,HUB-WEST,1.0,1.0,,2018-01-09
ORD00547,24546,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-09
ORD00552,6131,San Francisco,HUB-WEST,1.0,1.0,,2018-01-09
ORD00557,19815,Seattle,HUB-WEST,50.0,50.0,,2018-01-09
ORD00575,29740,San Diego,HUB-WEST,1.0,1.0,,2018-01-09
ORD00578,21199,Seattle,HUB-WEST,1.0,1.0,,2018-01-09
ORD00594,27222,San Antonio,HUB-SOUTH,1.0,1.0,,2018-01-09
ORD00596,34941,Jacksonville,HUB-EAST,1.0,1.0,,2018-01-09
